"Plot Title: FourMileBrook"
"#","Date Time, GMT-03:00","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,03/29/17 04:02:40 PM,4.063,,,,
2,03/29/17 04:02:44 PM,,Logged,,,
3,03/29/17 04:17:40 PM,2.956,,,,
4,03/29/17 04:32:40 PM,2.903,,,,
5,03/29/17 04:47:40 PM,2.850,,,,
6,03/29/17 05:02:40 PM,2.823,,,,
7,03/29/17 05:17:40 PM,2.797,,,,
8,03/29/17 05:32:40 PM,2.797,,,,
9,03/29/17 05:47:40 PM,2.744,,,,
10,03/29/17 06:02:40 PM,2.717,,,,
11,03/29/17 06:17:40 PM,2.664,,,,
12,03/29/17 06:32:40 PM,2.610,,,,
13,03/29/17 06:47:40 PM,2.557,,,,
14,03/29/17 07:02:40 PM,2.530,,,,
15,03/29/17 07:17:40 PM,2.477,,,,
16,03/29/17 07:32:40 PM,2.423,,,,
17,03/29/17 07:47:40 PM,2.370,,,,
18,03/29/17 08:02:40 PM,2.316,,,,
19,03/29/17 08:17:40 PM,2.289,,,,
20,03/29/17 08:32:40 PM,2.236,,,,
21,03/29/17 08:47:40 PM,2.182,,,,
22,03/29/17 09:02:40 PM,2.128,,,,
23,03/29/17 09:17:40 PM,2.101,,,,
24,03/29/17 09:32:40 PM,2.047,,,,
25,03/29/17 09:47:40 PM,2.021,,,,
26,03/29/17 10:02:40 PM,1.967,,,,
27,03/29/17 10:17:40 PM,1.940,,,,
28,03/29/17 10:32:40 PM,1.886,,,,
29,03/29/17 10:47:40 PM,1.859,,,,
30,03/29/17 11:02:40 PM,1.832,,,,
31,03/29/17 11:17:40 PM,1.778,,,,
32,03/29/17 11:32:40 PM,1.724,,,,
33,03/29/17 11:47:40 PM,1.697,,,,
34,03/30/17 12:02:40 AM,1.643,,,,
35,03/30/17 12:17:40 AM,1.615,,,,
36,03/30/17 12:32:40 AM,1.561,,,,
37,03/30/17 12:47:40 AM,1.534,,,,
38,03/30/17 01:02:40 AM,1.507,,,,
39,03/30/17 01:17:40 AM,1.480,,,,
40,03/30/17 01:32:40 AM,1.453,,,,
41,03/30/17 01:47:40 AM,1.425,,,,
42,03/30/17 02:02:40 AM,1.398,,,,
43,03/30/17 02:17:40 AM,1.398,,,,
44,03/30/17 02:32:40 AM,1.371,,,,
45,03/30/17 02:47:40 AM,1.371,,,,
46,03/30/17 03:02:40 AM,1.344,,,,
47,03/30/17 03:17:40 AM,1.344,,,,
48,03/30/17 03:32:40 AM,1.344,,,,
49,03/30/17 03:47:40 AM,1.317,,,,
50,03/30/17 04:02:40 AM,1.317,,,,
51,03/30/17 04:17:40 AM,1.289,,,,
52,03/30/17 04:32:40 AM,1.289,,,,
53,03/30/17 04:47:40 AM,1.262,,,,
54,03/30/17 05:02:40 AM,1.262,,,,
55,03/30/17 05:17:40 AM,1.235,,,,
56,03/30/17 05:32:40 AM,1.235,,,,
57,03/30/17 05:47:40 AM,1.208,,,,
58,03/30/17 06:02:40 AM,1.180,,,,
59,03/30/17 06:17:40 AM,1.180,,,,
60,03/30/17 06:32:40 AM,1.153,,,,
61,03/30/17 06:47:40 AM,1.126,,,,
62,03/30/17 07:02:40 AM,1.071,,,,
63,03/30/17 07:17:40 AM,1.044,,,,
64,03/30/17 07:32:40 AM,1.017,,,,
65,03/30/17 07:47:40 AM,1.017,,,,
66,03/30/17 08:02:40 AM,0.989,,,,
67,03/30/17 08:17:40 AM,0.962,,,,
68,03/30/17 08:32:40 AM,0.934,,,,
69,03/30/17 08:47:40 AM,0.907,,,,
70,03/30/17 09:02:40 AM,0.907,,,,
71,03/30/17 09:17:40 AM,0.907,,,,
72,03/30/17 09:32:40 AM,0.907,,,,
73,03/30/17 09:47:40 AM,0.907,,,,
74,03/30/17 10:02:40 AM,0.934,,,,
75,03/30/17 10:17:40 AM,0.962,,,,
76,03/30/17 10:32:40 AM,0.989,,,,
77,03/30/17 10:47:40 AM,1.017,,,,
78,03/30/17 11:02:40 AM,1.071,,,,
79,03/30/17 11:17:40 AM,1.153,,,,
80,03/30/17 11:32:40 AM,1.208,,,,
81,03/30/17 11:47:40 AM,1.289,,,,
82,03/30/17 12:02:40 PM,1.371,,,,
83,03/30/17 12:17:40 PM,1.453,,,,
84,03/30/17 12:32:40 PM,1.534,,,,
85,03/30/17 12:47:40 PM,1.615,,,,
86,03/30/17 01:02:40 PM,1.751,,,,
87,03/30/17 01:17:40 PM,1.859,,,,
88,03/30/17 01:32:40 PM,1.967,,,,
89,03/30/17 01:47:40 PM,2.101,,,,
90,03/30/17 02:02:40 PM,2.236,,,,
91,03/30/17 02:17:40 PM,2.370,,,,
92,03/30/17 02:32:40 PM,2.477,,,,
93,03/30/17 02:47:40 PM,2.637,,,,
94,03/30/17 03:02:40 PM,2.770,,,,
95,03/30/17 03:17:40 PM,2.903,,,,
96,03/30/17 03:32:40 PM,3.009,,,,
97,03/30/17 03:47:40 PM,3.142,,,,
98,03/30/17 04:02:40 PM,3.195,,,,
99,03/30/17 04:17:40 PM,3.248,,,,
100,03/30/17 04:32:40 PM,3.274,,,,
101,03/30/17 04:47:40 PM,3.327,,,,
102,03/30/17 05:02:40 PM,3.354,,,,
103,03/30/17 05:17:40 PM,3.380,,,,
104,03/30/17 05:32:40 PM,3.380,,,,
105,03/30/17 05:47:40 PM,3.380,,,,
106,03/30/17 06:02:40 PM,3.380,,,,
107,03/30/17 06:17:40 PM,3.354,,,,
108,03/30/17 06:32:40 PM,3.354,,,,
109,03/30/17 06:47:40 PM,3.327,,,,
110,03/30/17 07:02:40 PM,3.327,,,,
111,03/30/17 07:17:40 PM,3.327,,,,
112,03/30/17 07:32:40 PM,3.301,,,,
113,03/30/17 07:47:40 PM,3.274,,,,
114,03/30/17 08:02:40 PM,3.248,,,,
115,03/30/17 08:17:40 PM,3.195,,,,
116,03/30/17 08:32:40 PM,3.168,,,,
117,03/30/17 08:47:40 PM,3.116,,,,
118,03/30/17 09:02:40 PM,3.063,,,,
119,03/30/17 09:17:40 PM,3.036,,,,
120,03/30/17 09:32:40 PM,3.009,,,,
121,03/30/17 09:47:40 PM,2.956,,,,
122,03/30/17 10:02:40 PM,2.930,,,,
123,03/30/17 10:17:40 PM,2.877,,,,
124,03/30/17 10:32:40 PM,2.850,,,,
125,03/30/17 10:47:40 PM,2.823,,,,
126,03/30/17 11:02:40 PM,2.797,,,,
127,03/30/17 11:17:40 PM,2.744,,,,
128,03/30/17 11:32:40 PM,2.717,,,,
129,03/30/17 11:47:40 PM,2.690,,,,
130,03/31/17 12:02:40 AM,2.664,,,,
131,03/31/17 12:17:40 AM,2.637,,,,
132,03/31/17 12:32:40 AM,2.610,,,,
133,03/31/17 12:47:40 AM,2.584,,,,
134,03/31/17 01:02:40 AM,2.557,,,,
135,03/31/17 01:17:40 AM,2.530,,,,
136,03/31/17 01:32:40 AM,2.503,,,,
137,03/31/17 01:47:40 AM,2.477,,,,
138,03/31/17 02:02:40 AM,2.450,,,,
139,03/31/17 02:17:40 AM,2.450,,,,
140,03/31/17 02:32:40 AM,2.423,,,,
141,03/31/17 02:47:40 AM,2.396,,,,
142,03/31/17 03:02:40 AM,2.396,,,,
143,03/31/17 03:17:40 AM,2.370,,,,
144,03/31/17 03:32:40 AM,2.343,,,,
145,03/31/17 03:47:40 AM,2.343,,,,
146,03/31/17 04:02:40 AM,2.316,,,,
147,03/31/17 04:17:40 AM,2.316,,,,
148,03/31/17 04:32:40 AM,2.289,,,,
