"Plot Title: Roaring Brook"
"#","Date Time, GMT-05:00","Temp, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,03/19/16 11:00:00 AM,2.637,Logged,,,,
2,03/19/16 11:15:00 AM,2.637,,,,,
3,03/19/16 11:30:00 AM,2.744,,,,,
4,03/19/16 11:45:00 AM,2.850,,,,,
5,03/19/16 12:00:00 PM,2.956,,,,,
6,03/19/16 12:15:00 PM,3.089,,,,,
7,03/19/16 12:30:00 PM,3.221,,,,,
8,03/19/16 12:45:00 PM,3.380,,,,,
9,03/19/16 01:00:00 PM,3.538,,,,,
10,03/19/16 01:15:00 PM,3.696,,,,,
11,03/19/16 01:30:00 PM,3.827,,,,,
12,03/19/16 01:45:00 PM,3.958,,,,,
13,03/19/16 02:00:00 PM,4.037,,,,,
14,03/19/16 02:15:00 PM,4.141,,,,,
15,03/19/16 02:30:00 PM,4.194,,,,,
16,03/19/16 02:45:00 PM,4.272,,,,,
17,03/19/16 03:00:00 PM,4.324,,,,,
18,03/19/16 03:15:00 PM,4.324,,,,,
19,03/19/16 03:30:00 PM,4.298,,,,,
20,03/19/16 03:45:00 PM,4.246,,,,,
21,03/19/16 04:00:00 PM,4.168,,,,,
22,03/19/16 04:15:00 PM,4.115,,,,,
23,03/19/16 04:30:00 PM,4.063,,,,,
24,03/19/16 04:45:00 PM,4.011,,,,,
25,03/19/16 05:00:00 PM,3.985,,,,,
26,03/19/16 05:15:00 PM,3.932,,,,,
27,03/19/16 05:30:00 PM,3.880,,,,,
28,03/19/16 05:45:00 PM,3.854,,,,,
29,03/19/16 06:00:00 PM,3.801,,,,,
30,03/19/16 06:15:00 PM,3.722,,,,,
31,03/19/16 06:30:00 PM,3.670,,,,,
32,03/19/16 06:45:00 PM,3.591,,,,,
33,03/19/16 07:00:00 PM,3.538,,,,,
34,03/19/16 07:15:00 PM,3.459,,,,,
35,03/19/16 07:30:00 PM,3.380,,,,,
36,03/19/16 07:45:00 PM,3.327,,,,,
37,03/19/16 08:00:00 PM,3.248,,,,,
38,03/19/16 08:15:00 PM,3.195,,,,,
39,03/19/16 08:30:00 PM,3.142,,,,,
40,03/19/16 08:45:00 PM,3.063,,,,,
41,03/19/16 09:00:00 PM,3.009,,,,,
42,03/19/16 09:15:00 PM,2.956,,,,,
43,03/19/16 09:30:00 PM,2.903,,,,,
44,03/19/16 09:45:00 PM,2.850,,,,,
45,03/19/16 10:00:00 PM,2.797,,,,,
46,03/19/16 10:15:00 PM,2.744,,,,,
47,03/19/16 10:30:00 PM,2.690,,,,,
48,03/19/16 10:45:00 PM,2.637,,,,,
49,03/19/16 11:00:00 PM,2.584,,,,,
50,03/19/16 11:15:00 PM,2.530,,,,,
51,03/19/16 11:30:00 PM,2.477,,,,,
52,03/19/16 11:45:00 PM,2.423,,,,,
53,03/20/16 12:00:00 AM,2.370,,,,,
54,03/20/16 12:15:00 AM,2.316,,,,,
55,03/20/16 12:30:00 AM,2.289,,,,,
56,03/20/16 12:45:00 AM,2.236,,,,,
57,03/20/16 01:00:00 AM,2.209,,,,,
58,03/20/16 01:15:00 AM,2.155,,,,,
59,03/20/16 01:30:00 AM,2.101,,,,,
60,03/20/16 01:45:00 AM,2.074,,,,,
61,03/20/16 02:00:00 AM,2.021,,,,,
62,03/20/16 02:15:00 AM,1.994,,,,,
63,03/20/16 02:30:00 AM,1.940,,,,,
64,03/20/16 02:45:00 AM,1.913,,,,,
65,03/20/16 03:00:00 AM,1.886,,,,,
66,03/20/16 03:15:00 AM,1.832,,,,,
67,03/20/16 03:30:00 AM,1.778,,,,,
68,03/20/16 03:45:00 AM,1.751,,,,,
69,03/20/16 04:00:00 AM,1.697,,,,,
70,03/20/16 04:15:00 AM,1.670,,,,,
71,03/20/16 04:30:00 AM,1.615,,,,,
