#,Date,Time,Temp (°C) c:1
1,06/15/16,12:30:00,13.522
2,06/15/16,13:00:00,13.738
3,06/15/16,13:30:00,13.858
4,06/15/16,14:00:00,14.050
5,06/15/16,14:30:00,14.242
6,06/15/16,15:00:00,14.290
7,06/15/16,15:30:00,14.337
8,06/15/16,16:00:00,14.361
9,06/15/16,16:30:00,14.481
10,06/15/16,17:00:00,14.457
11,06/15/16,17:30:00,14.481
12,06/15/16,18:00:00,14.481
13,06/15/16,18:30:00,14.481
14,06/15/16,19:00:00,14.433
15,06/15/16,19:30:00,14.433
16,06/15/16,20:00:00,14.385
17,06/15/16,20:30:00,14.290
18,06/15/16,21:00:00,14.242
19,06/15/16,21:30:00,14.122
20,06/15/16,22:00:00,14.026
21,06/15/16,22:30:00,13.930
22,06/15/16,23:00:00,13.858
23,06/15/16,23:30:00,13.762
24,06/16/16,00:00:00,13.666
25,06/16/16,00:30:00,13.570
26,06/16/16,01:00:00,13.522
27,06/16/16,01:30:00,13.449
28,06/16/16,02:00:00,13.377
29,06/16/16,02:30:00,13.329
30,06/16/16,03:00:00,13.257
31,06/16/16,03:30:00,13.209
32,06/16/16,04:00:00,13.161
33,06/16/16,04:30:00,13.088
34,06/16/16,05:00:00,13.040
35,06/16/16,05:30:00,13.016
36,06/16/16,06:00:00,12.968
37,06/16/16,06:30:00,12.944
38,06/16/16,07:00:00,12.920
39,06/16/16,07:30:00,12.920
40,06/16/16,08:00:00,12.920
41,06/16/16,08:30:00,12.944
42,06/16/16,09:00:00,12.968
43,06/16/16,09:30:00,13.016
44,06/16/16,10:00:00,13.064
45,06/16/16,10:30:00,13.137
46,06/16/16,11:00:00,13.233
47,06/16/16,11:30:00,13.329
48,06/16/16,12:00:00,13.425
49,06/16/16,12:30:00,13.570
50,06/16/16,13:00:00,13.762
51,06/16/16,13:30:00,13.954
52,06/16/16,14:00:00,14.146
53,06/16/16,14:30:00,14.337
54,06/16/16,15:00:00,14.433
55,06/16/16,15:30:00,14.505
56,06/16/16,16:00:00,14.553
57,06/16/16,16:30:00,14.649
58,06/16/16,17:00:00,14.721
59,06/16/16,17:30:00,14.745
60,06/16/16,18:00:00,14.768
61,06/16/16,18:30:00,14.745
62,06/16/16,19:00:00,14.745
63,06/16/16,19:30:00,14.697
64,06/16/16,20:00:00,14.673
65,06/16/16,20:30:00,14.601
66,06/16/16,21:00:00,14.529
67,06/16/16,21:30:00,14.481
68,06/16/16,22:00:00,14.385
69,06/16/16,22:30:00,14.337
70,06/16/16,23:00:00,14.290
71,06/16/16,23:30:00,14.218
72,06/17/16,00:00:00,14.194
73,06/17/16,00:30:00,14.146
74,06/17/16,01:00:00,14.098
75,06/17/16,01:30:00,14.050
76,06/17/16,02:00:00,13.978
77,06/17/16,02:30:00,13.906
78,06/17/16,03:00:00,13.858
79,06/17/16,03:30:00,13.786
80,06/17/16,04:00:00,13.738
81,06/17/16,04:30:00,13.666
82,06/17/16,05:00:00,13.594
83,06/17/16,05:30:00,13.473
84,06/17/16,06:00:00,13.353
85,06/17/16,06:30:00,13.257
86,06/17/16,07:00:00,13.185
87,06/17/16,07:30:00,13.161
88,06/17/16,08:00:00,13.161
89,06/17/16,08:30:00,13.185
90,06/17/16,09:00:00,13.209
91,06/17/16,09:30:00,13.257
92,06/17/16,10:00:00,13.329
93,06/17/16,10:30:00,13.425
94,06/17/16,11:00:00,13.522
95,06/17/16,11:30:00,13.594
96,06/17/16,12:00:00,13.714
97,06/17/16,12:30:00,13.834
98,06/17/16,13:00:00,14.026
99,06/17/16,13:30:00,14.194
100,06/17/16,14:00:00,14.337
101,06/17/16,14:30:00,14.505
102,06/17/16,15:00:00,14.577
103,06/17/16,15:30:00,14.601
104,06/17/16,16:00:00,14.649
105,06/17/16,16:30:00,14.673
106,06/17/16,17:00:00,14.697
107,06/17/16,17:30:00,14.745
108,06/17/16,18:00:00,14.768
109,06/17/16,18:30:00,14.721
110,06/17/16,19:00:00,14.697
111,06/17/16,19:30:00,14.673
112,06/17/16,20:00:00,14.625
113,06/17/16,20:30:00,14.553
114,06/17/16,21:00:00,14.481
115,06/17/16,21:30:00,14.385
116,06/17/16,22:00:00,14.337
117,06/17/16,22:30:00,14.290
118,06/17/16,23:00:00,14.194
119,06/17/16,23:30:00,14.098
120,06/18/16,00:00:00,14.002
121,06/18/16,00:30:00,13.906
122,06/18/16,01:00:00,13.810
123,06/18/16,01:30:00,13.690
124,06/18/16,02:00:00,13.570
125,06/18/16,02:30:00,13.449
126,06/18/16,03:00:00,13.329
127,06/18/16,03:30:00,13.233
128,06/18/16,04:00:00,13.137
129,06/18/16,04:30:00,13.064
130,06/18/16,05:00:00,12.992
131,06/18/16,05:30:00,12.920
132,06/18/16,06:00:00,12.823
133,06/18/16,06:30:00,12.751
134,06/18/16,07:00:00,12.678
135,06/18/16,07:30:00,12.654
136,06/18/16,08:00:00,12.654
137,06/18/16,08:30:00,12.703
138,06/18/16,09:00:00,12.751
139,06/18/16,09:30:00,12.823
140,06/18/16,10:00:00,12.944
141,06/18/16,10:30:00,13.064
142,06/18/16,11:00:00,13.209
143,06/18/16,11:30:00,13.329
144,06/18/16,12:00:00,13.473
145,06/18/16,12:30:00,13.666
146,06/18/16,13:00:00,13.906
147,06/18/16,13:30:00,14.098
148,06/18/16,14:00:00,14.290
149,06/18/16,14:30:00,14.481
150,06/18/16,15:00:00,14.601
151,06/18/16,15:30:00,14.673
152,06/18/16,16:00:00,14.745
153,06/18/16,16:30:00,14.792
154,06/18/16,17:00:00,14.864
155,06/18/16,17:30:00,14.888
156,06/18/16,18:00:00,14.912
157,06/18/16,18:30:00,14.912
158,06/18/16,19:00:00,14.888
159,06/18/16,19:30:00,14.864
160,06/18/16,20:00:00,14.816
161,06/18/16,20:30:00,14.768
162,06/18/16,21:00:00,14.697
163,06/18/16,21:30:00,14.625
164,06/18/16,22:00:00,14.577
165,06/18/16,22:30:00,14.529
166,06/18/16,23:00:00,14.481
167,06/18/16,23:30:00,14.433
168,06/19/16,00:00:00,14.361
169,06/19/16,00:30:00,14.290
170,06/19/16,01:00:00,14.218
171,06/19/16,01:30:00,14.146
172,06/19/16,02:00:00,14.074
173,06/19/16,02:30:00,14.002
174,06/19/16,03:00:00,13.906
175,06/19/16,03:30:00,13.762
176,06/19/16,04:00:00,13.642
177,06/19/16,04:30:00,13.522
178,06/19/16,05:00:00,13.377
179,06/19/16,05:30:00,13.281
180,06/19/16,06:00:00,13.185
181,06/19/16,06:30:00,13.088
182,06/19/16,07:00:00,13.016
183,06/19/16,07:30:00,12.992
184,06/19/16,08:00:00,12.992
185,06/19/16,08:30:00,13.040
186,06/19/16,09:00:00,13.088
187,06/19/16,09:30:00,13.161
188,06/19/16,10:00:00,13.257
189,06/19/16,10:30:00,13.377
190,06/19/16,11:00:00,13.522
191,06/19/16,11:30:00,13.642
192,06/19/16,12:00:00,13.786
193,06/19/16,12:30:00,14.002
194,06/19/16,13:00:00,14.242
195,06/19/16,13:30:00,14.481
196,06/19/16,14:00:00,14.673
197,06/19/16,14:30:00,14.936
198,06/19/16,15:00:00,15.055
199,06/19/16,15:30:00,15.175
200,06/19/16,16:00:00,15.247
201,06/19/16,16:30:00,15.318
202,06/19/16,17:00:00,15.390
203,06/19/16,17:30:00,15.438
204,06/19/16,18:00:00,15.509
205,06/19/16,18:30:00,15.557
206,06/19/16,19:00:00,15.557
207,06/19/16,19:30:00,15.533
208,06/19/16,20:00:00,15.509
209,06/19/16,20:30:00,15.485
210,06/19/16,21:00:00,15.438
211,06/19/16,21:30:00,15.366
212,06/19/16,22:00:00,15.294
213,06/19/16,22:30:00,15.199
214,06/19/16,23:00:00,15.127
215,06/19/16,23:30:00,15.055
216,06/20/16,00:00:00,14.960
217,06/20/16,00:30:00,14.864
218,06/20/16,01:00:00,14.745
219,06/20/16,01:30:00,14.649
220,06/20/16,02:00:00,14.529
221,06/20/16,02:30:00,14.433
222,06/20/16,03:00:00,14.314
223,06/20/16,03:30:00,14.218
224,06/20/16,04:00:00,14.122
225,06/20/16,04:30:00,14.026
226,06/20/16,05:00:00,13.930
227,06/20/16,05:30:00,13.834
228,06/20/16,06:00:00,13.762
229,06/20/16,06:30:00,13.666
230,06/20/16,07:00:00,13.618
231,06/20/16,07:30:00,13.594
232,06/20/16,08:00:00,13.594
233,06/20/16,08:30:00,13.594
234,06/20/16,09:00:00,13.618
235,06/20/16,09:30:00,13.642
236,06/20/16,10:00:00,13.714
237,06/20/16,10:30:00,13.834
238,06/20/16,11:00:00,13.954
239,06/20/16,11:30:00,14.098
240,06/20/16,12:00:00,14.218
241,06/20/16,12:30:00,14.433
242,06/20/16,13:00:00,14.673
243,06/20/16,13:30:00,14.912
244,06/20/16,14:00:00,15.127
245,06/20/16,14:30:00,15.390
246,06/20/16,15:00:00,15.509
247,06/20/16,15:30:00,15.676
248,06/20/16,16:00:00,15.772
249,06/20/16,16:30:00,15.891
250,06/20/16,17:00:00,16.010
251,06/20/16,17:30:00,16.058
252,06/20/16,18:00:00,16.106
253,06/20/16,18:30:00,16.129
254,06/20/16,19:00:00,16.153
255,06/20/16,19:30:00,16.153
256,06/20/16,20:00:00,16.129
257,06/20/16,20:30:00,16.106
258,06/20/16,21:00:00,16.058
259,06/20/16,21:30:00,15.986
260,06/20/16,22:00:00,15.963
261,06/20/16,22:30:00,15.915
262,06/20/16,23:00:00,15.867
263,06/20/16,23:30:00,15.796
264,06/21/16,00:00:00,15.724
265,06/21/16,00:30:00,15.676
266,06/21/16,01:00:00,15.581
267,06/21/16,01:30:00,15.533
268,06/21/16,02:00:00,15.461
269,06/21/16,02:30:00,15.390
270,06/21/16,03:00:00,15.342
271,06/21/16,03:30:00,15.270
272,06/21/16,04:00:00,15.199
273,06/21/16,04:30:00,15.151
274,06/21/16,05:00:00,15.103
275,06/21/16,05:30:00,15.055
276,06/21/16,06:00:00,15.008
277,06/21/16,06:30:00,15.031
278,06/21/16,07:00:00,15.055
279,06/21/16,07:30:00,15.031
280,06/21/16,08:00:00,15.055
281,06/21/16,08:30:00,15.079
282,06/21/16,09:00:00,15.103
283,06/21/16,09:30:00,15.127
284,06/21/16,10:00:00,15.127
285,06/21/16,10:30:00,15.127
286,06/21/16,11:00:00,15.151
287,06/21/16,11:30:00,15.199
288,06/21/16,12:00:00,15.247
289,06/21/16,12:30:00,15.342
290,06/21/16,13:00:00,15.461
291,06/21/16,13:30:00,15.605
292,06/21/16,14:00:00,15.819
293,06/21/16,14:30:00,16.058
294,06/21/16,15:00:00,16.058
295,06/21/16,15:30:00,16.058
296,06/21/16,16:00:00,16.058
297,06/21/16,16:30:00,16.034
298,06/21/16,17:00:00,16.010
299,06/21/16,17:30:00,15.963
300,06/21/16,18:00:00,15.915
301,06/21/16,18:30:00,15.867
302,06/21/16,19:00:00,15.819
303,06/21/16,19:30:00,15.772
304,06/21/16,20:00:00,15.700
305,06/21/16,20:30:00,15.629
306,06/21/16,21:00:00,15.509
307,06/21/16,21:30:00,15.390
308,06/21/16,22:00:00,15.247
309,06/21/16,22:30:00,15.103
310,06/21/16,23:00:00,14.936
311,06/21/16,23:30:00,14.745
312,06/22/16,00:00:00,14.577
313,06/22/16,00:30:00,14.409
314,06/22/16,01:00:00,14.266
315,06/22/16,01:30:00,14.098
316,06/22/16,02:00:00,13.954
317,06/22/16,02:30:00,13.834
318,06/22/16,03:00:00,13.690
319,06/22/16,03:30:00,13.546
320,06/22/16,04:00:00,13.497
321,06/22/16,04:30:00,13.377
322,06/22/16,05:00:00,13.257
323,06/22/16,05:30:00,13.161
324,06/22/16,06:00:00,13.040
325,06/22/16,06:30:00,12.968
326,06/22/16,07:00:00,12.920
327,06/22/16,07:30:00,12.871
328,06/22/16,08:00:00,12.871
329,06/22/16,08:30:00,12.896
330,06/22/16,09:00:00,12.944
331,06/22/16,09:30:00,12.992
