"","Stream","Location","Season","Month","Year","DayOfYear","Date","Addition","MeanTemp","MaximumTemp","MinimumTemp","Difference","DOY","TemperatureDifferences","Rating"
"1","Burying Ground","Below Webber Road",3,"08","2013",228,2013-08-16,0,15.28715,15.461,14.84,0.621,228,0,0
"2","Sanderson","Lower",3,"08","2013",228,2013-08-16,0,14.59,14.888,14.05,0.837999999999999,228,0,0
"3","West Whately","Lower",3,"08","2013",228,2013-08-16,0,14.21505,14.697,13.425,1.272,228,0,0
"4","Burying Ground","Below Webber Road",3,"08","2013",229,2013-08-17,0,14.7806666666667,15.629,13.69,1.939,229,-0.506483333333334,0
"5","Sanderson","Lower",3,"08","2013",229,2013-08-17,0,13.9391458333333,14.912,12.799,2.113,229,-0.650854166666667,0
"6","West Whately","Lower",3,"08","2013",229,2013-08-17,0,13.7250416666667,15.031,12.461,2.57,229,-0.490008333333332,0
"7","Burying Ground","Below Webber Road",3,"08","2013",230,2013-08-18,0,15.1994791666667,15.748,14.529,1.219,230,0.4188125,0
"8","Sanderson","Lower",3,"08","2013",230,2013-08-18,0,14.206,14.768,13.522,1.246,230,0.266854166666667,0
"9","West Whately","Lower",3,"08","2013",230,2013-08-18,0,13.945875,14.673,13.185,1.488,230,0.220833333333333,0
"10","Burying Ground","Below Webber Road",3,"08","2013",231,2013-08-19,0,15.5833541666667,16.296,14.768,1.528,231,0.383875,0
"11","Sanderson","Lower",3,"08","2013",231,2013-08-19,0,14.6154166666667,15.342,13.858,1.484,231,0.409416666666667,0
"12","West Whately","Lower",3,"08","2013",231,2013-08-19,0,14.345125,15.342,13.425,1.917,231,0.399249999999999,0
"13","Burying Ground","Below Webber Road",3,"08","2013",232,2013-08-20,0,16.108,16.963,15.103,1.86,232,0.524645833333334,0
"14","Sanderson","Lower",3,"08","2013",232,2013-08-20,0,15.134375,16.106,14.17,1.936,232,0.518958333333334,0
"15","West Whately","Lower",3,"08","2013",232,2013-08-20,0,14.834,16.296,13.666,2.63,232,0.488875,0
"16","Burying Ground","Below Webber Road",3,"08","2013",233,2013-08-21,0,16.6104791666667,17.463,15.629,1.834,233,0.502479166666667,0
"17","Sanderson","Lower",3,"08","2013",233,2013-08-21,0,15.4587708333333,16.439,14.433,2.006,233,0.324395833333332,0
"18","West Whately","Lower",3,"08","2013",233,2013-08-21,0,15.1279166666667,16.606,13.93,2.676,233,0.293916666666668,0
"19","Burying Ground","Below Webber Road",3,"08","2013",234,2013-08-22,0,17.1755416666667,17.843,16.415,1.428,234,0.5650625,0
"20","Sanderson","Lower",3,"08","2013",234,2013-08-22,0,15.8032291666667,16.487,15.008,1.479,234,0.344458333333334,0
"21","West Whately","Lower",3,"08","2013",234,2013-08-22,0,15.4656458333333,16.63,14.409,2.221,234,0.337729166666666,0
"22","Burying Ground","Below Webber Road",3,"08","2013",235,2013-08-23,0,17.1181666666667,17.534,16.392,1.142,235,-0.0573750000000004,0
"23","Sanderson","Lower",3,"08","2013",235,2013-08-23,0,15.7621041666667,16.296,15.031,1.265,235,-0.0411249999999992,0
"24","West Whately","Lower",3,"08","2013",235,2013-08-23,0,15.2751458333333,16.082,14.314,1.768,235,-0.1905,0
"25","Burying Ground","Below Webber Road",3,"08","2013",236,2013-08-24,0,15.5998958333333,16.272,14.745,1.527,236,-1.51827083333333,0
"26","Sanderson","Lower",3,"08","2013",236,2013-08-24,0,14.5436458333333,15.342,13.738,1.604,236,-1.21845833333333,0
"27","West Whately","Lower",3,"08","2013",236,2013-08-24,0,13.9732291666667,15.199,12.871,2.328,236,-1.30191666666667,0
"28","Burying Ground","Below Webber Road",3,"08","2013",237,2013-08-25,0,15.1182291666667,16.034,13.882,2.152,237,-0.481666666666666,0
"29","Sanderson","Lower",3,"08","2013",237,2013-08-25,0,14.05,15.079,12.751,2.328,237,-0.493645833333332,0
"30","West Whately","Lower",3,"08","2013",237,2013-08-25,0,13.875875,15.461,12.316,3.145,237,-0.0973541666666655,0
"31","Burying Ground","Below Webber Road",3,"08","2013",238,2013-08-26,0,16.1528125,17.153,15.438,1.715,238,1.03458333333333,0
"32","Sanderson","Lower",3,"08","2013",238,2013-08-26,0,14.9606041666667,15.819,14.218,1.601,238,0.910604166666666,0
"33","West Whately","Lower",3,"08","2013",238,2013-08-26,0,14.8815,16.225,13.906,2.319,238,1.005625,0
"34","Burying Ground","Below Webber Road",3,"08","2013",239,2013-08-27,0,17.0823125,17.819,16.368,1.451,239,0.929500000000001,0
"35","Sanderson","Lower",3,"08","2013",239,2013-08-27,0,15.889625,16.677,15.151,1.526,239,0.929020833333334,0
"36","West Whately","Lower",3,"08","2013",239,2013-08-27,0,15.6908125,16.63,14.984,1.646,239,0.809312499999999,0
"37","Burying Ground","Below Webber Road",3,"08","2013",240,2013-08-28,0,17.736125,18.937,16.963,1.974,240,0.653812500000001,0
"38","Sanderson","Lower",3,"08","2013",240,2013-08-28,0,16.2278958333333,17.058,15.461,1.597,240,0.338270833333331,0
"39","West Whately","Lower",3,"08","2013",240,2013-08-28,0,15.8872708333333,17.034,14.864,2.17,240,0.196458333333334,0
"40","Burying Ground","Below Webber Road",3,"08","2013",241,2013-08-29,0,17.3977708333333,17.819,16.987,0.832000000000001,241,-0.338354166666669,0
"41","Sanderson","Lower",3,"08","2013",241,2013-08-29,0,15.9490833333333,16.392,15.557,0.834999999999999,241,-0.278812499999997,0
"42","West Whately","Lower",3,"08","2013",241,2013-08-29,0,15.56925,16.201,15.055,1.146,241,-0.318020833333334,0
