"","Stream","Location","Season","Month","Year","DayOfYear","Date","Addition","MeanTemp","MaximumTemp","MinimumTemp","Difference","DOY"
"1","Burying Ground","Below Webber Road",1,"01","2014",1,2014-01-01,365,-0.0775,-0.06,-0.088,0.028,366
"2","Burying Ground","Below Webber Road",1,"01","2014",2,2014-01-02,365,-0.0850833333333333,-0.06,-0.088,0.028,367
"3","Burying Ground","Below Webber Road",1,"01","2014",3,2014-01-03,365,-0.0664166666666667,-0.06,-0.088,0.028,368
"4","Burying Ground","Below Webber Road",1,"01","2014",4,2014-01-04,365,-0.0524166666666667,-0.032,-0.06,0.028,369
"5","Burying Ground","Below Webber Road",1,"01","2014",5,2014-01-05,365,0.0021875,0.19,-0.06,0.25,370
"6","Burying Ground","Below Webber Road",1,"01","2014",6,2014-01-06,365,0.0245416666666667,0.246,-0.143,0.389,371
"7","Burying Ground","Below Webber Road",1,"01","2014",7,2014-01-07,365,-0.0688333333333333,0.163,-0.116,0.279,372
"8","Burying Ground","Below Webber Road",1,"01","2014",8,2014-01-08,365,-0.088,-0.088,-0.088,0,373
"9","Burying Ground","Below Webber Road",1,"01","2014",9,2014-01-09,365,-0.08625,-0.06,-0.088,0.028,374
"10","Burying Ground","Below Webber Road",1,"01","2014",10,2014-01-10,365,-0.0427291666666667,0.329,-0.088,0.417,375
"11","Burying Ground","Below Webber Road",1,"01","2014",11,2014-01-11,365,0.347729166666667,0.934,-0.06,0.994,376
"12","Burying Ground","Below Webber Road",1,"01","2014",12,2014-01-12,365,1.13164583333333,1.507,0.19,1.317,377
"13","Burying Ground","Below Webber Road",1,"01","2014",13,2014-01-13,365,1.605875,2.074,1.18,0.894,378
"14","Burying Ground","Below Webber Road",1,"01","2014",14,2014-01-14,365,1.91166666666667,2.262,1.289,0.973,379
"15","Burying Ground","Below Webber Road",1,"01","2014",15,2014-01-15,365,1.96466666666667,2.477,1.561,0.916,380
"16","Burying Ground","Below Webber Road",1,"01","2014",16,2014-01-16,365,2.514375,2.744,2.262,0.482,381
"17","Burying Ground","Below Webber Road",1,"01","2014",17,2014-01-17,365,2.27558333333333,2.503,1.913,0.59,382
"18","Burying Ground","Below Webber Road",1,"01","2014",18,2014-01-18,365,2.114125,2.37,1.967,0.403,383
"19","Burying Ground","Below Webber Road",1,"01","2014",19,2014-01-19,365,1.64577083333333,2.021,1.453,0.568,384
"20","Burying Ground","Below Webber Road",1,"01","2014",20,2014-01-20,365,1.86097916666667,2.53,1.071,1.459,385
"21","Burying Ground","Below Webber Road",1,"01","2014",21,2014-01-21,365,0.011875,0.934,-0.116,1.05,386
"22","Burying Ground","Below Webber Road",1,"01","2014",22,2014-01-22,365,-0.0868333333333333,-0.06,-0.088,0.028,387
"23","Burying Ground","Below Webber Road",1,"01","2014",23,2014-01-23,365,-0.0850833333333333,-0.06,-0.088,0.028,388
"24","Burying Ground","Below Webber Road",1,"01","2014",24,2014-01-24,365,-0.0850833333333333,-0.06,-0.088,0.028,389
